Param_name,Param_value
NumVar,14
mu_inflation,0.0248044040229125
phi_inflation,0.11918919397434527
pre_inflation,0.02056397899774945
epsStd_inflation,0.012648829736612938
mu_wage,0.03210967444801721
psi1_wage,0.0
psi2_wage,0.2794058583480792
epsStd_wage,0.011689154768203171
mu_longTermNoq,0.025496900429479847
kappa_longTermNoq,0.3320091026761982
epsStd_longTermNoq,0.014895071542587204
kappa_shortTermNoq,0.1687279085360088
epsStd_shortTermNoq,0.013614807822149931
pre_cash,0.0189625
mu_domDivYield,0.04033917090681246
phi_domDivYield,0.3284639642979198
pre_domDivYield,0.04125836090807043
epsStd_domDivYield,0.13516840419025575
pre_Xy,0.022530801240066456
mu_domDiv,0.02882613884537099
delta_domDiv,0.3353906015526071
tau1_domDiv,0.3850839205758089
tau2_domDiv,-0.6032819823831168
preeps_domDivYield,0.018616605585618774
preeps_domDiv,0.011881585790461308
epsStd_domDiv,0.06862507048988413
pre_divIndex,260.9260828013569
pre_shareIndex,6194.633
domEqReturn,0
mu_IntEqReturn,-0.01909188720731824
psi_IntEqReturn,1.0020401808018453
epsStd_IntEqReturn,0.09091773615837039
psi1_domBond,-3.0874217726854885
psi2_domBond,4.097378106673863
psi3_domBond,-0.231952136165962
psi4_domBond,0.19856480305355062
pre_longTerm,0.026309999999999997
epsStd_domBond,0.008450987064973152
mu_intBond,-0.03146082703666597
psi_intBond,1.161722009174099
tau_intBond,0.09602405355946692
epsStd_intBond,0.08626377840119055
alpha_Hgr,0.3502001570453409
alpha_Hgr_inflation,1.2495369721844747
epsStd_Hgr,0.058431842025425965
pre_Hgr,-0.002668447214732319
mu_unemply,0.046250204777440164
kappa_unemply,0.16860581208132386
alpha_u_inflation,-0.28973765737480395
alpha_u_short,-0.37711084883760004
epsStd_unemply,0.0026672242068446705
pre_unemply,0.051747588
inflation_HistInit,0.018257768573564745
longTerm_HistInit,0.08900000000000001
shortTerm_HistInit,0.0642
Xy_HistInit,-0.04013708440498842
domDivYield_HistInit,0.038752136713688316
D_index_HistInit,68.53889361413081
P_index_HistInit,1665.9
domDiv_HistInit,-0.057257573777079226
eps_domDivYield_HistInit,-0.18861446229444886
eps_domDiv_HistInit,0.031643098892339655
houseGR_HistInit,0.026441578231787055
unemply_HistInit,0.104873555
gold_HistInit,0.0032247732744
