,Annual Data,,,,,,,,,,
Time,CPI,Wage_index,r_shortTerm,r_longTerm,Dom_asset_price_index,Dom_asset_total_return_index,Int_asset_total_return_index,Dom_bond_index,Int_bond_index,Unemployment,HPI
Jun-92,59.7,587.3,6.42,8.9,1665.9,5808.27,902.23,1692.477,361.32614,0.104873555,104.5
Jun-93,60.8,597.8,5.22,7.39,1734.6,6291.64,1057.28,1928.313,450.04837,0.106707003,107.3
Jun-94,61.9,617.3,5.12,9.635,1931.1,7252.08,1162.64,1906.485,432.43927,0.095165567,110.9
Jun-95,64.7,648.2,7.55,9.21,1981,7756.19,1287.92,2132.959,526.85657,0.081022665,112.4
Jun-96,66.7,673.8,7.57,8.79,2171.8,8866.43,1525.21,2334.568,477.57535,0.080107443,113.6
Jun-97,66.9,696.3,5.35,7.055,2664.7,11313.28,1866.39,2725.812,516.18018,0.080963095,116.8
Jun-98,67.4,725.7,5.32,5.545,2620.1,11542.18,2193.23,3022.447,656.14056,0.07622749,126.9
Jun-99,68.1,748.5,4.93,6.27,2903.7,13251.57,2535.68,3121.682,642.13922,0.064760354,134.3
Jun-00,70.2,779.1,6.23,6.183,3311.207,15628,2847.62,3314.293,731.47748,0.059488316,147.3
Jun-01,74.5,818.8,4.97,6.06,3490.458,17044.8,2265.13,3560.287,831.08569,0.067351131,159.4
Jun-02,76.6,860.1,5.07,6.075,3215.955,16245.3,1914.52,3781.327,857.19208,0.063229471,189.5
Jun-03,78.6,912.8,4.67,5.018,3026.874,15966.7,1863.24,4151.304,838.82233,0.059003182,223.8
Jun-04,80.6,939,5.49,5.947,3532.885,19416.7,2310.36,4247.926,855.71655,0.053299592,252.1
Jun-05,82.6,993.8,5.66,5.107,4277.495,24533.91,2529.64,4578.8,839.60742,0.048325796,251.9
Jun-06,85.9,1025.8,5.96,5.78,5073.883,30405.08,2955.68,4735.084,858.70618,0.04691645,265.5270633
Jun-07,87.7,1076.8,6.42,6.256,6274.932,39119.09,3637.36,4923.917,771.22021,0.042129282,292.2184261
Jun-08,91.6,1119.6,7.81,6.447,5215.307,33875.33,3239.72,5141.582,801.62701,0.041282791,315.4433781
Jun-09,92.9,1187.8,3.25,5.522,3954.892,27053.61,2286.11,5697.995,987.935,0.057303873,313.3635317
Jun-10,95.8,1250.1,4.8875,5.094,4301.505,30609.97,2513.08,6145.613,970.73199,0.050071124,363.9731286
Jun-11,99.2,1304.7,4.9925,5.207,4607.966,34200.68,3269.97,6486.497,848.28326,0.047873873,354.2671785
Jun-12,100.4,1349.2,3.4925,3.038,4094.633,31904.52,3115.19,7291.467,911.43304,0.050125845,347.6809981
Jun-13,102.8,1420.9,2.8025,3.76,4802.591,39163.27,3702.67,7493.993,976.70209,0.055351543,366.052975
Jun-14,105.9,1454.1,2.6975,3.542,5395.747,45991.23,4597.09,7950.057,1010.04626,0.058803396,404.8767754
Jun-15,107.5,1483.1,2.15,3.01,5459.01,48602.26,4686.02,8397.457,1123.479,0.058457698,447.5136276
Jun-16,108.6,1516,1.99,1.981,5233.375,48872.38,4557.88,8986.799,1293.77979,0.05541955,468.3120921
Jun-17,110.7,1543.2,1.7225,2.598,5721.494,55758.56,5386.92,9009.23,1202.91199,0.054481856,520.3082534
Jun-18,113,1585.3,2.07,2.631,6194.633,63015.41,5987.57,9287.194,1272.89722,0.051747588,518.9216891
